date,amount,description
2024-01-02,250.00,Zomato order
2024-01-05,1200.00,Amazon purchase
2024-01-08,450.00,Swiggy delivery
2024-01-10,80.00,Ola cab
2024-01-12,5500.00,Apple AirPods
2024-01-15,300.00,Zomato order
2024-01-18,150.00,Uber ride
2024-01-20,2200.00,Myntra shopping
2024-01-22,600.00,BigBasket groceries
2024-01-25,180.00,Swiggy delivery
2024-01-28,90.00,Rapido bike
2024-01-30,3400.00,Croma electronics
2024-02-01,350.00,Zomato order
2024-02-04,120.00,Uber ride
2024-02-06,800.00,Flipkart order
2024-02-08,500.00,Swiggy delivery
2024-02-10,12000.00,Flight booking MakeMyTrip
2024-02-12,200.00,BigBasket groceries
2024-02-14,1800.00,Nykaa beauty
2024-02-16,75.00,Ola cab
2024-02-18,400.00,Zomato order
2024-02-20,650.00,Amazon purchase
2024-02-22,250.00,Swiggy delivery
2024-02-24,3200.00,Boat headphones
2024-02-26,180.00,Uber ride
2024-02-28,900.00,Grofers groceries
2024-03-01,300.00,Zomato order
2024-03-03,110.00,Rapido bike
2024-03-05,2800.00,Ajio clothing
2024-03-07,450.00,Swiggy delivery
2024-03-09,8500.00,Hotel booking OYO
2024-03-11,200.00,BigBasket groceries
2024-03-13,160.00,Uber ride
2024-03-15,550.00,Zomato order
2024-03-17,1500.00,Amazon purchase
2024-03-19,300.00,Swiggy delivery
2024-03-21,95.00,Ola cab
2024-03-23,4200.00,Samsung tablet
2024-03-25,280.00,Zomato order
2024-03-27,700.00,Myntra shopping
2024-03-29,420.00,Swiggy delivery
2024-03-31,130.00,Uber ride
